"路名","段數","專案編號","GPS_X","GPS_Y","車道","里程","IRI","PCI"
"高鐵北路","一段","CX","121.217123000","25.014076000","2","660","3.89000","59.00000"
"高鐵北路","一段","CX","121.216990000","25.013942000","2","680","2.17000","59.00000"
"高鐵北路","一段","CX","121.216857000","25.013809000","2","700","2.19000","59.00000"
"高鐵北路","一段","CX","121.216723000","25.013675000","2","720","2.76000","58.00000"
"高鐵北路","一段","CX","121.216590000","25.013542000","2","740","3.01000","59.00000"
"高鐵北路","一段","CX","121.216456000","25.013408000","2","760","4.49000","59.00000"
"高鐵北路","一段","CX","121.216322000","25.013276000","2","780","2.64000","59.00000"
"高鐵北路","一段","CX","121.216188000","25.013143000","2","800","3.34000","60.00000"
"高鐵北路","一段","CX","121.216054000","25.013010000","2","820","2.05000","59.00000"
"高鐵北路","一段","CX","121.215920000","25.012877000","2","840","2.71000","59.00000"
"高鐵北路","一段","CX","121.215786000","25.012744000","2","860","6.63000","58.00000"
"高鐵北路","一段","CX","121.215652000","25.012611000","2","880","7.63000","60.00000"
"高鐵北路","一段","CX","121.215517000","25.012478000","2","900","2.90000","59.00000"
"高鐵北路","一段","CX","121.215383000","25.012345000","2","920","4.68000","59.00000"
"高鐵北路","一段","CX","121.215249000","25.012212000","2","940","2.68000","59.00000"
"高鐵北路","一段","CX","121.215115000","25.012080000","2","960","1.55000","59.00000"
"高鐵北路","一段","CX","121.214981000","25.011947000","2","980","1.86000","60.00000"
"高鐵北路","一段","CX","121.214847000","25.011814000","2","1000","3.05000","59.00000"
"高鐵北路","一段","CX","121.214712000","25.011681000","2","1020","5.95000","59.00000"
"高鐵北路","一段","CX","121.214578000","25.011549000","2","1040","4.86000","59.00000"
"高鐵北路","一段","CX","121.214443000","25.011416000","2","1060","3.17000","59.00000"
"高鐵北路","一段","CX","121.214307000","25.011284000","2","1080","4.12000","59.00000"
"高鐵北路","一段","CX","121.214172000","25.011152000","2","1100","3.18000","59.00000"
"高鐵北路","一段","CX","121.214037000","25.011020000","2","1120","2.34000","59.00000"
"高鐵北路","一段","CX","121.213902000","25.010888000","2","1140","3.70000","58.00000"
"高鐵北路","一段","CX","121.213767000","25.010756000","2","1160",NULL,"63.00000"
"高鐵北路","一段","CX","121.217153000","25.014052000","1","660","2.14000","59.00000"
"高鐵北路","一段","CX","121.217020000","25.013919000","1","680","2.80000","59.00000"
"高鐵北路","一段","CX","121.216887000","25.013785000","1","700","1.36000","59.00000"
"高鐵北路","一段","CX","121.216753000","25.013651000","1","720","4.58000","58.00000"
"高鐵北路","一段","CX","121.216620000","25.013518000","1","740","2.51000","59.00000"
"高鐵北路","一段","CX","121.216486000","25.013385000","1","760","4.99000","59.00000"
"高鐵北路","一段","CX","121.216352000","25.013252000","1","780","3.16000","59.00000"
"高鐵北路","一段","CX","121.216218000","25.013119000","1","800","1.92000","60.00000"
"高鐵北路","一段","CX","121.216084000","25.012986000","1","820","2.30000","59.00000"
"高鐵北路","一段","CX","121.215950000","25.012853000","1","840","2.05000","59.00000"
"高鐵北路","一段","CX","121.215815000","25.012720000","1","860","2.94000","58.00000"
"高鐵北路","一段","CX","121.215681000","25.012587000","1","880","9.80000","60.00000"
"高鐵北路","一段","CX","121.215547000","25.012454000","1","900","3.87000","59.00000"
"高鐵北路","一段","CX","121.215413000","25.012321000","1","920","2.15000","59.00000"
"高鐵北路","一段","CX","121.215279000","25.012188000","1","940","2.97000","59.00000"
"高鐵北路","一段","CX","121.215145000","25.012056000","1","960","1.16000","59.00000"
"高鐵北路","一段","CX","121.215010000","25.011923000","1","980","2.34000","60.00000"
"高鐵北路","一段","CX","121.214876000","25.011790000","1","1000","3.24000","59.00000"
"高鐵北路","一段","CX","121.214742000","25.011657000","1","1020","6.13000","59.00000"
"高鐵北路","一段","CX","121.214607000","25.011525000","1","1040","5.90000","59.00000"
"高鐵北路","一段","CX","121.214472000","25.011392000","1","1060","2.60000","59.00000"
"高鐵北路","一段","CX","121.214337000","25.011260000","1","1080","1.92000","59.00000"
"高鐵北路","一段","CX","121.214202000","25.011128000","1","1100","1.97000","59.00000"
"高鐵北路","一段","CX","121.214067000","25.010996000","1","1120","2.01000","59.00000"
"高鐵北路","一段","CX","121.213932000","25.010864000","1","1140","2.99000","58.00000"
"高鐵北路","一段","CX","121.213797000","25.010732000","1","1160",NULL,"63.00000"
"高鐵北路","一段","CX","121.217094000","25.014100000","3","660","3.03000","59.00000"
"高鐵北路","一段","CX","121.216960000","25.013966000","3","680","3.15000","59.00000"
"高鐵北路","一段","CX","121.216827000","25.013833000","3","700","3.53000","59.00000"
"高鐵北路","一段","CX","121.216694000","25.013699000","3","720","3.13000","58.00000"
"高鐵北路","一段","CX","121.216560000","25.013566000","3","740","5.07000","59.00000"
"高鐵北路","一段","CX","121.216427000","25.013432000","3","760","3.09000","59.00000"
"高鐵北路","一段","CX","121.216293000","25.013300000","3","780","2.95000","59.00000"
"高鐵北路","一段","CX","121.216158000","25.013167000","3","800","2.19000","60.00000"
"高鐵北路","一段","CX","121.216024000","25.013034000","3","820","2.90000","59.00000"
"高鐵北路","一段","CX","121.215890000","25.012901000","3","840","3.40000","59.00000"
"高鐵北路","一段","CX","121.215756000","25.012768000","3","860","4.91000","58.00000"
"高鐵北路","一段","CX","121.215622000","25.012635000","3","880","4.32000","60.00000"
"高鐵北路","一段","CX","121.215488000","25.012502000","3","900","3.11000","59.00000"
"高鐵北路","一段","CX","121.215354000","25.012369000","3","920","5.16000","59.00000"
"高鐵北路","一段","CX","121.215219000","25.012236000","3","940","2.46000","59.00000"
"高鐵北路","一段","CX","121.215085000","25.012103000","3","960","3.75000","59.00000"
"高鐵北路","一段","CX","121.214951000","25.011971000","3","980","3.12000","60.00000"
"高鐵北路","一段","CX","121.214817000","25.011838000","3","1000","3.52000","59.00000"
"高鐵北路","一段","CX","121.214683000","25.011705000","3","1020","4.62000","59.00000"
"高鐵北路","一段","CX","121.214548000","25.011572000","3","1040","3.61000","59.00000"
"高鐵北路","一段","CX","121.214413000","25.011440000","3","1060","3.02000","59.00000"
"高鐵北路","一段","CX","121.214278000","25.011308000","3","1080","2.22000","59.00000"
"高鐵北路","一段","CX","121.214143000","25.011176000","3","1100","2.42000","59.00000"
"高鐵北路","一段","CX","121.214008000","25.011044000","3","1120","3.55000","59.00000"
"高鐵北路","一段","CX","121.213873000","25.010912000","3","1140",NULL,"58.00000"
"高鐵北路","一段","CX","121.213737000","25.010780000","3","1160",NULL,"63.00000"
"高鐵南路","一段","B","121.212286000","25.011834000","2","1560","5.01000","62.00000"
"高鐵南路","一段","B","121.212201000","25.011670000","2","1540","2.72000","80.00000"
"高鐵南路","一段","B","121.212116000","25.011507000","2","1520","2.04000","82.00000"
"高鐵南路","一段","B","121.212041000","25.011341000","2","1500","2.99000","81.00000"
"高鐵南路","一段","B","121.211983000","25.011168000","2","1480","3.45000","82.00000"
"高鐵南路","一段","B","121.211946000","25.010991000","2","1460","1.83000","81.00000"
"高鐵南路","一段","B","121.211926000","25.010811000","2","1440","1.77000","82.00000"
"高鐵南路","一段","B","121.211906000","25.010632000","2","1420","1.74000","81.00000"
"高鐵南路","一段","B","121.211881000","25.010453000","2","1400","4.23000","81.00000"
"高鐵南路","一段","B","121.211820000","25.010281000","2","1380","3.77000","82.00000"
"高鐵南路","一段","B","121.211730000","25.010120000","2","1360","4.35000","82.00000"
"高鐵南路","一段","B","121.211628000","25.009966000","2","1340","2.49000","80.00000"
"高鐵南路","一段","B","121.211505000","25.009824000","2","1320","2.25000","81.00000"
"高鐵南路","一段","B","121.211375000","25.009688000","2","1300","3.72000","81.00000"
"高鐵南路","一段","B","121.211243000","25.009553000","2","1280","7.39000","82.00000"
"高鐵南路","一段","B","121.211109000","25.009420000","2","1260","4.02000","81.00000"
"高鐵南路","一段","B","121.210976000","25.009287000","2","1240","6.30000","81.00000"
"高鐵南路","一段","B","121.210842000","25.009153000","2","1220","1.97000","81.00000"
"高鐵南路","一段","B","121.210708000","25.009020000","2","1200","2.57000","80.00000"
"高鐵南路","一段","B","121.210575000","25.008887000","2","1180","2.60000","81.00000"
"高鐵南路","一段","B","121.210442000","25.008753000","2","1160","2.04000","81.00000"
"高鐵南路","一段","B","121.210309000","25.008619000","2","1140","1.48000","82.00000"
"高鐵南路","一段","B","121.210176000","25.008485000","2","1120","2.16000","81.00000"
"高鐵南路","一段","B","121.210043000","25.008351000","2","1100","1.47000","80.00000"
"高鐵南路","一段","B","121.209910000","25.008217000","2","1080","1.90000","82.00000"
"高鐵南路","一段","B","121.209777000","25.008083000","2","1060","3.10000","82.00000"
"高鐵南路","一段","B","121.209645000","25.007949000","2","1040","3.85000","81.00000"
"高鐵南路","一段","B","121.209512000","25.007815000","2","1020","3.40000","82.00000"
"高鐵南路","一段","B","121.209379000","25.007681000","2","1000","2.34000","81.00000"
"高鐵南路","一段","B","121.209244000","25.007549000","2","980","2.00000","81.00000"
"高鐵南路","一段","B","121.209110000","25.007416000","2","960","2.03000","82.00000"
"高鐵南路","一段","B","121.208975000","25.007283000","2","940","1.67000","82.00000"
"高鐵南路","一段","B","121.208842000","25.007150000","2","920","2.24000","81.00000"
"高鐵南路","一段","B","121.208708000","25.007017000","2","900","1.99000","82.00000"
"高鐵南路","一段","B","121.208574000","25.006883000","2","880","2.56000","81.00000"
"高鐵南路","一段","B","121.208441000","25.006750000","2","860","4.62000","82.00000"
"高鐵南路","一段","B","121.208307000","25.006617000","2","840","2.27000","82.00000"
"高鐵南路","一段","B","121.208174000","25.006483000","2","820","2.56000","81.00000"
"高鐵南路","一段","B","121.208039000","25.006350000","2","800","3.93000","81.00000"
"高鐵南路","一段","B","121.207905000","25.006218000","2","780","1.42000","82.00000"
"高鐵南路","一段","B","121.212225000","25.011886000","4","1560","5.96000","62.00000"
"高鐵南路","一段","B","121.212141000","25.011723000","4","1540","2.16000","80.00000"
"高鐵南路","一段","B","121.212056000","25.011560000","4","1520","2.92000","82.00000"
"高鐵南路","一段","B","121.211976000","25.011395000","4","1500","2.68000","81.00000"
"高鐵南路","一段","B","121.211917000","25.011223000","4","1480","2.15000","82.00000"
"高鐵南路","一段","B","121.211871000","25.011047000","4","1460","1.84000","81.00000"
"高鐵南路","一段","B","121.211825000","25.010871000","4","1440","2.97000","82.00000"
"高鐵南路","一段","B","121.211779000","25.010696000","4","1420","2.58000","81.00000"
"高鐵南路","一段","B","121.211732000","25.010520000","4","1400","5.60000","81.00000"
"高鐵南路","一段","B","121.211671000","25.010348000","4","1380","3.56000","82.00000"
"高鐵南路","一段","B","121.211586000","25.010186000","4","1360","4.15000","82.00000"
"高鐵南路","一段","B","121.211477000","25.010036000","4","1340","2.36000","80.00000"
"高鐵南路","一段","B","121.211352000","25.009895000","4","1320","1.85000","81.00000"
"高鐵南路","一段","B","121.211228000","25.009755000","4","1300","3.13000","81.00000"
"高鐵南路","一段","B","121.211096000","25.009621000","4","1280","5.34000","82.00000"
"高鐵南路","一段","B","121.210958000","25.009491000","4","1260","4.09000","81.00000"
"高鐵南路","一段","B","121.210825000","25.009358000","4","1240","4.21000","81.00000"
"高鐵南路","一段","B","121.210692000","25.009224000","4","1220","2.62000","81.00000"
"高鐵南路","一段","B","121.210559000","25.009090000","4","1200","2.67000","80.00000"
"高鐵南路","一段","B","121.210426000","25.008956000","4","1180","3.43000","81.00000"
"高鐵南路","一段","B","121.210293000","25.008822000","4","1160","2.32000","81.00000"
"高鐵南路","一段","B","121.210160000","25.008689000","4","1140","2.33000","82.00000"
"高鐵南路","一段","B","121.210027000","25.008555000","4","1120","1.97000","81.00000"
"高鐵南路","一段","B","121.209894000","25.008421000","4","1100","2.82000","80.00000"
"高鐵南路","一段","B","121.209760000","25.008288000","4","1080","2.42000","82.00000"
"高鐵南路","一段","B","121.209624000","25.008156000","4","1060","4.92000","82.00000"
"高鐵南路","一段","B","121.209489000","25.008024000","4","1040","7.20000","81.00000"
"高鐵南路","一段","B","121.209353000","25.007892000","4","1020","1.95000","82.00000"
"高鐵南路","一段","B","121.209221000","25.007758000","4","1000","1.94000","81.00000"
"高鐵南路","一段","B","121.209084000","25.007627000","4","980","1.84000","81.00000"
"高鐵南路","一段","B","121.208947000","25.007497000","4","960","1.95000","82.00000"
"高鐵南路","一段","B","121.208811000","25.007366000","4","940","1.62000","82.00000"
"高鐵南路","一段","B","121.208679000","25.007231000","4","920","1.62000","81.00000"
"高鐵南路","一段","B","121.208548000","25.007096000","4","900","1.92000","82.00000"
"高鐵南路","一段","B","121.208418000","25.006960000","4","880","2.65000","81.00000"
"高鐵南路","一段","B","121.208288000","25.006823000","4","860","2.63000","82.00000"
"高鐵南路","一段","B","121.208162000","25.006684000","4","840","3.16000","82.00000"
"高鐵南路","一段","B","121.208042000","25.006541000","4","820","2.75000","81.00000"
"高鐵南路","一段","B","121.207904000","25.006411000","4","800","1.57000","81.00000"
"高鐵南路","一段","B","121.207766000","25.006281000","4","780","1.76000","82.00000"
"高鐵南路","一段","B","121.212316000","25.011807000","1","1560","7.29000","62.00000"
"高鐵南路","一段","B","121.212231000","25.011644000","1","1540","2.94000","80.00000"
"高鐵南路","一段","B","121.212147000","25.011481000","1","1520","2.64000","82.00000"
"高鐵南路","一段","B","121.212073000","25.011314000","1","1500","1.67000","81.00000"
"高鐵南路","一段","B","121.212016000","25.011141000","1","1480","2.66000","82.00000"
"高鐵南路","一段","B","121.211982000","25.010963000","1","1460","1.49000","81.00000"
"高鐵南路","一段","B","121.211963000","25.010783000","1","1440","1.27000","82.00000"
"高鐵南路","一段","B","121.211943000","25.010604000","1","1420","1.36000","81.00000"
"高鐵南路","一段","B","121.211913000","25.010426000","1","1400","3.09000","81.00000"
"高鐵南路","一段","B","121.211851000","25.010254000","1","1380","2.50000","82.00000"
"高鐵南路","一段","B","121.211760000","25.010094000","1","1360","4.25000","82.00000"
